Date,ASX,Dow Jones,S&P 500,Nasdaq,ASX / Dow Jones,ASX / S&P 500,ASX / Nasdaq
01-Jan-00,986.80,114.89,178.32,493.06,986.797415932377+114.889742582646i,986.797415932377+178.316106800932i,986.797415932377+493.055978439537i
02-Jan-00,992.90,116.24,179.35,491.25,992.900620009124+116.239952851655i,992.900620009124+179.350717681353i,992.900620009124+491.252374576437i
03-Jan-00,1000.25,117.86,179.33,488.52,1000.25430375016+117.864268259885i,1000.25430375016+179.334210333901i,1000.25430375016+488.520512500216i
04-Jan-00,1000.06,117.09,178.95,487.75,1000.06221367843+117.088295214579i,1000.06221367843+178.953266731713i,1000.06221367843+487.752427848298i
05-Jan-00,1000.98,118.08,179.33,491.82,1000.97832485968+118.075532723135i,1000.97832485968+179.325679699726i,1000.97832485968+491.820179762587i
06-Jan-00,1000.67,118.70,180.79,496.16,1000.67127513206+118.700401955826i,1000.67127513206+180.785333366082i,1000.67127513206+496.161791795552i
07-Jan-00,1005.93,120.17,180.66,500.59,1005.92501966884+120.170638851782i,1005.92501966884+180.659324779419i,1005.92501966884+500.586738201239i
08-Jan-00,998.76,120.88,181.42,505.52,998.762536858065+120.876767029435i,998.762536858065+181.421686362602i,998.762536858065+505.515390917879i
09-Jan-00,994.67,121.76,181.21,503.68,994.673812462823+121.755289673025i,994.673812462823+181.206546078393i,994.673812462823+503.67700879928i
10-Jan-00,990.97,121.81,181.81,501.92,990.970089618605+121.805286896192i,990.970089618605+181.807826494872i,990.970089618605+501.916738615022i
11-Jan-00,986.42,122.43,181.14,500.16,986.419294351342+122.429682843711i,986.419294351342+181.14214453582i,986.419294351342+500.164371487033i
12-Jan-00,990.90,123.46,181.08,503.46,990.901164955192+123.463817446988i,990.901164955192+181.075393232988i,990.901164955192+503.4636397203i
13-Jan-00,996.63,125.27,182.84,502.37,996.625635094743+125.26664834243i,996.625635094743+182.836968419136i,996.625635094743+502.365769263805i
14-Jan-00,1002.51,126.44,182.70,506.35,1002.51207845771+126.43535809534i,1002.51207845771+182.696881930753i,1002.51207845771+506.350392186609i
15-Jan-00,1012.94,127.60,182.70,502.24,1012.94321665677+127.595239618088i,1012.94321665677+182.700875002313i,1012.94321665677+502.237673731354i
16-Jan-00,1009.72,128.25,184.39,504.85,1009.72099351461+128.252073270472i,1009.72099351461+184.38891830534i,1009.72099351461+504.84626610515i
17-Jan-00,1004.20,127.75,185.54,506.73,1004.20035177303+127.754898225139i,1004.20035177303+185.539292112463i,1004.20035177303+506.726050135861i
18-Jan-00,1000.30,127.37,185.93,504.14,1000.29786455262+127.373999175024i,1000.29786455262+185.929068917571i,1000.29786455262+504.136363891758i
19-Jan-00,993.84,128.60,185.43,499.62,993.838098010431+128.60149270215i,993.838098010431+185.425711117169i,993.838098010431+499.620104290751i
20-Jan-00,985.04,130.16,186.94,497.13,985.037732072184+130.155982855224i,985.037732072184+186.936879032901i,985.037732072184+497.132222330675i
21-Jan-00,993.45,130.99,186.01,500.49,993.451497263571+130.98826179754i,993.451497263571+186.010859323951i,993.451497263571+500.489926023995i
22-Jan-00,1003.42,132.97,187.18,503.58,1003.42275978024+132.973815615103i,1003.42275978024+187.18132792936i,1003.42275978024+503.575680861828i
23-Jan-00,998.98,134.54,189.06,500.45,998.979866080342+134.542781768819i,998.979866080342+189.062287248837i,998.979866080342+500.451241300045i
24-Jan-00,997.48,136.24,189.81,503.60,997.478796214437+136.242744573354i,997.478796214437+189.807528832899i,997.478796214437+503.599493104726i
25-Jan-00,1002.59,137.83,191.79,499.46,1002.58824356478+137.834529223935i,1002.58824356478+191.785083234819i,1002.58824356478+499.459498563203i
